City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Fare,PF,2022-11-25 22:05:13,-16.7,-151.0167,78.19,72,35,13.2
68,Zhangye,CN,2022-11-25 22:05:13,38.9342,100.4517,38.75,25,6,8.05
69,Sur,OM,2022-11-25 22:05:13,22.5667,59.5289,75.97,63,1,4.03
70,Nizwa,OM,2022-11-25 22:05:14,22.9333,57.5333,68.59,51,3,2.86
71,Puri,IN,2022-11-25 22:01:20,19.8,85.85,61.32,52,0,8.32
72,Taga,RO,2022-11-25 22:05:14,46.95,24.05,36.32,90,10,2.19
73,Strezhevoy,RU,2022-11-25 22:05:15,60.7333,77.5889,-20.85,93,10,7.65
74,Zirgan,RU,2022-11-25 22:05:15,53.2222,55.9185,13.3,85,100,6.96
75,Kamina,CD,2022-11-25 22:05:15,-8.7386,24.9906,63.59,97,100,1.77
76,Omsukchan,RU,2022-11-25 22:05:16,62.5333,155.8,-35.95,97,52,3.87
77,Cayenne,GF,2022-11-25 22:05:16,4.9333,-52.3333,78.84,89,40,0.0
78,Marathon,US,2022-11-25 22:05:17,44.9,-89.7668,45.64,58,0,5.75
79,Alexandria,EG,2022-11-25 22:05:17,31.2156,29.9553,67.68,53,69,11.83
80,Santa Isabel,BR,2022-11-25 22:05:17,-23.3156,-46.2214,65.91,94,100,5.91
81,Tuatapere,NZ,2022-11-25 22:05:18,-46.1333,167.6833,48.63,80,98,7.23
82,El Alto,PE,2022-11-25 22:05:18,-4.2714,-81.2147,69.46,77,21,13.96
83,Kimbe,PG,2022-11-25 22:05:18,-5.5502,150.1429,81.41,81,97,1.52
84,Kranj,SI,2022-11-25 22:05:19,46.2389,14.3556,36.63,50,100,2.3
85,La Valette-Du-Var,FR,2022-11-25 22:05:19,43.1374,5.9831,56.17,70,20,6.91
86,Mar Del Plata,AR,2022-11-25 22:05:20,-38.0023,-57.5575,63.82,87,20,18.01
87,Ancud,CL,2022-11-25 22:03:40,-41.8697,-73.8203,60.66,74,0,6.33
