City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
459,San Carlos,VE,82.06,overcast clouds,9.6612,-68.5827,Hotel Villas del Norte
460,Lorengau,PG,81.52,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
463,La Palma,US,67.91,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
464,Maceio,BR,80.04,moderate rain,-9.6658,-35.7353,Maceió Hostel e Pousada
465,Sampit,ID,74.43,overcast clouds,-2.5333,112.95,Hotel Sultan
468,Radcliff,US,63.1,scattered clouds,37.8404,-85.9491,Gold Vault Inn
469,Cabinda,AO,76.46,moderate rain,-5.55,12.2,Hotel Mayombe
470,Mackay,AU,75.69,light rain,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
471,Navirai,BR,79.47,overcast clouds,-23.065,-54.1906,Hotel 2 Gaúchos
473,Namatanai,PG,80.24,overcast clouds,-3.6667,152.4333,Namatanai Hotel
474,Hervey Bay,AU,71.71,moderate rain,-25.2986,152.8535,Hervey Bay Hotel
478,Behbahan,IR,73.4,overcast clouds,30.5959,50.2417,فندق رضا
480,Inirida,CO,82.35,broken clouds,3.8653,-67.9239,Residencias El Turista del Guainia
484,Tabas,IR,58.82,overcast clouds,33.5959,56.9244,هتل امیر
485,San Vicente,AR,81.66,light rain,-26.6167,-54.1333,Los Lapachos
486,The Valley,AI,82.81,scattered clouds,18.217,-63.0578,CeBlue
490,Asyut,EG,64.58,clear sky,27.181,31.1837,فندق الحسين
492,Omboue,GA,75.83,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
494,San Pedro,PH,79.83,few clouds,14.35,121.0167,Hotel Takara
495,Sakaraha,MG,72.27,overcast clouds,-22.9,44.5333,Palace Club
497,Richards Bay,ZA,65.32,clear sky,-28.783,32.0377,Protea Hotel
499,Guatire,VE,82.2,overcast clouds,10.4762,-66.5427,Grand Hotel
501,Rocha,UY,79.34,clear sky,-34.4833,-54.3333,Hotel Municipal
503,Muroto,JP,65.95,overcast clouds,33.2833,134.15,民宿うらしま
505,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Comfort Rooms
507,Byron Bay,AU,68.94,light rain,-28.65,153.6167,Lord Byron Resort
509,Banda Aceh,ID,77.38,overcast clouds,5.5577,95.3222,Hotel 61
510,Nizwa,OM,69.21,clear sky,22.9333,57.5333,Nizwa Heritage Inn
515,Lamesa,US,69.53,clear sky,32.7376,-101.951,Best Western Lamesa Inn & Suites
516,Asosa,ET,69.46,overcast clouds,10.0667,34.5333,Africa Hotel
518,Dong Hoi,VN,77.36,scattered clouds,17.4833,106.6,Nhà hàng Amor Palace
523,San Ramon,US,56.61,clear sky,37.7799,-121.978,Hotel Sierra San Ramon
526,Maxixe,MZ,73.22,few clouds,-23.8597,35.3472,Hotel Herry
527,Waingapu,ID,77.5,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
528,Baillif,GP,81.9,clear sky,16.0202,-61.7463,Hôtel de Rocroy
535,Biltine,TD,76.32,clear sky,14.5333,20.9167,فندق ثلاث نجوم بلتن
538,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Matavai Resort
539,Moerai,PF,74.46,broken clouds,-22.4333,-151.3333,Manotel Rurutu
541,Van Buren,US,74.35,clear sky,35.4368,-94.3483,Holiday Inn Express Hotel & Suites Van Buren-Ft Smith Area
542,Talcahuano,CL,69.48,clear sky,-36.7167,-73.1167,Club Recreativo Armada de Chile
546,Boffa,GN,76.5,overcast clouds,10.1667,-14.0333,Cité Bagataye
547,Zagora,MA,58.42,clear sky,30.3484,-5.8365,Riad Le Jasmin Du Sud
556,Broken Hill,AU,56.79,clear sky,-31.95,141.4333,Ibis Styles
562,Lamar,US,77.36,broken clouds,33.6668,-95.5836,Days Inn by Wyndham Paris
564,Anloga,GH,81.46,scattered clouds,5.7947,0.8973,Hotel de White House
565,Okato,NZ,63.91,broken clouds,-39.2,173.8833,Stony River Boutique Hotel
566,Cape Canaveral,US,81.19,clear sky,28.4058,-80.6048,Holiday Inn Club Vacations Cape Canaveral Beach Resort
568,Lardos,GR,61.95,scattered clouds,36.0942,28.0157,smartline Ellia
572,Springbok,ZA,60.84,clear sky,-29.6643,17.8865,Elkoweru Guesthouse
577,Mogadishu,SO,80.35,clear sky,2.0371,45.3438,SYL Hotel
581,Sonamura,IN,71.94,scattered clouds,23.4719,91.2664,Sagar Mahal Tourist Lodge
583,Karratha,AU,78.06,few clouds,-20.7377,116.8463,Karratha International Hotel
587,Gaya,IN,60.71,mist,24.7833,85.0,Royal Guest House - CLOSED
588,Capinzal,BR,73.63,overcast clouds,-27.3436,-51.6119,Hotel Antares
590,Jacqueville,CI,80.71,overcast clouds,5.2052,-4.4146,Complexe hôtelier Grand Roi
591,Dunedin,NZ,55.8,light rain,-45.8742,170.5036,Scenic Hotel Dunedin City
594,Altagracia De Orituco,VE,77.34,overcast clouds,9.8601,-66.3814,Hotel El Canastro
595,Coquimbo,CL,65.93,broken clouds,-29.9533,-71.3436,Hotel Iberia
598,Riyadh,SA,68.14,overcast clouds,24.6877,46.7219,White Palace Hotel
608,San Joaquin,US,56.53,clear sky,37.9333,-121.3011,I-5 Inn
609,Sagauli,IN,64.89,broken clouds,26.7833,84.7333,Utsav Kunj Hotel & Marriage Hall
611,Salinopolis,BR,81.3,light rain,-0.6136,-47.3561,Hotel Salinópolis
618,San Quintin,MX,62.98,clear sky,30.4833,-115.95,Jardines Hotel
620,Cap Malheureux,MU,73.47,scattered clouds,-19.9842,57.6142,Cape Garden
622,Kupang,ID,80.2,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
623,Amahai,ID,78.42,overcast clouds,-3.3333,128.9167,Onemay Hotel
624,Condado,CU,83.07,overcast clouds,21.8767,-79.8403,Hostal Buena Vista
626,Pathein,MM,75.83,broken clouds,16.7833,94.7333,Taan Taan Ta
631,Punta Alta,AR,73.74,clear sky,-38.8759,-62.0736,Gran Hotel
632,Natal,BR,84.85,few clouds,-5.795,-35.2094,Natal Palace Hotel
634,Ayorou,NE,78.84,clear sky,14.7308,0.9174,Hotel Aminokal
635,Diego De Almagro,CL,75.97,clear sky,-26.3667,-70.05,Residencial Hambyll
638,Rawson,AR,64.69,clear sky,-43.3002,-65.1023,Hotel Deportivo
639,Atambua,ID,73.42,overcast clouds,-9.1061,124.8925,Hotel Matahari
641,Methoni,GR,57.22,broken clouds,36.8197,21.7049,Hotel Ulysses
643,Lingao,CN,74.61,clear sky,19.9103,109.6859,小城之春假日酒店
646,Bhawanipatna,IN,61.12,clear sky,19.9,83.1667,Hotel Centre Park
649,Kalmunai,LK,75.0,broken clouds,7.4167,81.8167,Saji new food
651,Zaria,NG,69.58,clear sky,11.1113,7.7227,Tee Jay Palace Hotel Zaria
654,Lynn Haven,US,78.78,overcast clouds,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
656,Mbandaka,CD,70.77,moderate rain,0.0487,18.2603,Hôtel Epervier
657,Upata,VE,75.49,overcast clouds,8.0086,-62.3989,Hotel Garibardi
661,Amalapuram,IN,69.64,clear sky,16.5833,82.0167,Homewood Suites
664,Addis Abeba,ET,58.08,few clouds,9.025,38.7469,ኤክስትሪም ሆቴል
665,Samarinda,ID,73.4,light rain,-0.5,117.15,Hotel Bumi Senyiur
672,Pangai,TO,80.71,few clouds,-19.8,-174.35,Billy's Place
673,Quatre Cocos,MU,73.51,broken clouds,-20.2078,57.7625,Horisun
674,Lompoc,US,63.01,clear sky,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
675,Bowen,AU,76.03,light rain,-20.0167,148.2333,Whitsunday Sands Resort
677,Virginia Beach,US,59.05,scattered clouds,36.8529,-75.978,Beach Spa Bed & Breakfast
678,Kamina,CD,62.96,light rain,-8.7386,24.9906,Hôtel DG
684,Gizo,SB,81.81,light rain,-8.103,156.8419,Gizo Hotel
685,Mahibadhoo,MV,80.44,overcast clouds,3.7833,72.9667,Coral View Inn
686,Shelby,US,63.14,mist,35.2001,-89.8668,Motel 6 Memphis Northeast
696,Sokolo,ML,82.98,scattered clouds,14.7328,-6.1219,Mairie de la Commune de Sokolo
